state,stateName,anyPosData,posRaceData,posEthData,anyDeathData,deathRaceData,deathEthData,unknownRacePos,unknownRaceDeath,knownRacePos,knownRaceDeath,unknownEthPos,unknownEthDeath,knownEthPos,knownEthDeath,blackPositives,blackDeaths,blackPctPop,blackPctPos,blackPctDeath,blackPosDispFlag,blackDeathDispFlag,blackPosCaution,blackDeathCaution,blackANHPIPosNotes,blackANHPIDeathNotes,blackPosNotes,blackDeathNotes,blackSpecialCaseNotes,asianPositives,asianDeaths,asianPctPop,asianPctPos,asianPctDeath,asianPosDispFlag,asianDeathDispFlag,asianPosCaution,asianDeathCaution,asianANHPIPosNotes,asianANHPIDeathNotes,asianPosNotes,asianDeathNotes,asianSpecialCaseNotes,aianPositives,aianDeaths,aianPctPop,aianPctPos,aianPctDeath,aianPosDispFlag,aianDeathDispFlag,aianPosCaution,aianDeathCaution,aianANHPIPosNotes,aianANHPIDeathNotes,aianPosNotes,aianDeathNotes,aianSpecialCaseNotes,nhpiPositives,nhpiDeaths,nhpiPctPop,nhpiPctPos,nhpiPctDeath,nhpiPosDispFlag,nhpiDeathDispFlag,nhpiPosCaution,nhpiDeathCaution,nhpiANHPIPosNotes,nhpiANHPIDeathNotes,nhpiPosNotes,nhpiDeathNotes,nhpiSpecialCaseNotes,twoPositives,twoDeaths,twoPctPop,twoPctPos,twoPctDeath,twoPosDispFlag,twoDeathDispFlag,twoPosCaution,twoDeathCaution,twoANHPIPosNotes,twoANHPIDeathNotes,twoPosNotes,twoDeathNotes,twoSpecialCaseNotes,whitePositives,whiteDeaths,whitePctPop,whitePctPos,whitePctDeath,whitePosDispFlag,whiteDeathDispFlag,whitePosCaution,whiteDeathCaution,whiteANHPIPosNotes,whiteANHPIDeathNotes,whitePosNotes,whiteDeathNotes,whiteSpecialCaseNotes,otherPositives,otherDeaths,otherPctPop,otherPctPos,otherPctDeath,otherPosDispFlag,otherDeathDispFlag,otherPosCaution,otherDeathCaution,otherANHPIPosNotes,otherANHPIDeathNotes,otherPosNotes,otherDeathNotes,otherSpecialCaseNotes,latinXPositives,latinXDeaths,latinXPctPop,latinXPctPos,latinXPctDeath,latinXPosDispFlag,latinXDeathDispFlag,latinXPosCaution,latinXDeathCaution,latinXANHPIPosNotes,latinXANHPIDeathNotes,latinXPosNotes,latinXDeathNotes,latinXSpecialCaseNotes,nonhispanicPositives,nonhispanicDeaths,nonhispanicPctPop,nonhispanicPctPos,nonhispanicPctDeath,nonhispanicPosDispFlag,nonhispanicDeathDispFlag,nonhispanicPosCaution,nonhispanicDeathCaution,nonhispanicANHPIPosNotes,nonhispanicANHPIDeathNotes,nonhispanicPosNotes,nonhispanicDeathNotes,nonhispanicSpecialCaseNotes,blackPosPercap,blackDeathPercap,asianPosPercap,asianDeathPercap,aianPosPercap,aianDeathPercap,nhpiPosPercap,nhpiDeathPercap,twoPosPercap,twoDeathPercap,whitePosPercap,whiteDeathPercap,otherPosPercap,otherDeathPercap,latinXPosPercap,latinXDeathPercap
KS,Kansas,true,true,true,true,true,true,0.1763,0.0406,0.8237,0.9594,0.2293,0.0587,0.7707,0.9413,3129,70,0.0584,0.0925,0.1647,true,true,false,false,,,,,,1206,11,0.0287,0.0357,0.0259,false,false,false,false,,,,,,290,4,0.0083,0.0086,0.0094,false,false,false,false,,,,,,,,0.0007,,,false,false,true,true,,,"Kansas does not specify if this race category is included under a grouping it labels ""Other race.""","Kansas does not specify if this race category is included under a grouping it labels ""Other race.""",,,,0.0232,,,false,false,true,true,,,"Kansas does not specify if this race category is included under a grouping it labels ""Other race.""","Kansas does not specify if this race category is included under a grouping it labels ""Other race.""",,26895,318,0.8459,0.7954,0.7482,false,false,false,false,,,,,,2293,22,0.0347,0.0678,0.0518,false,false,true,true,,,"Kansas does not specify if this race category is included under a grouping it labels ""Other race.""","Kansas does not specify if this race category is included under a grouping it labels ""Other race.""",,11924,67,0.1171,0.3769,0.1607,true,true,false,false,,,,,,19712,350,0.8829,0.6231,0.8393,false,false,false,false,,,,,,18.4,0.4,14.4,0.1,12.1,0.2,,,,,10.9,0.1,33.9,0.3,34.2,0.2
KY,Kentucky,true,true,true,true,true,true,0.3495,0.0871,0.6505,0.9129,0.3563,0.1204,0.6437,0.8796,4018,116,0.0798,0.1286,0.1366,true,true,false,false,,,,,,516,10,0.0141,0.0165,0.0118,false,false,false,false,,,,,,131,0,0.0022,0.0042,0.0000,false,false,false,false,,,,,,50,,0.0006,0.0016,,false,false,false,false,,,,,,1839,20,0.0099,0.0589,0.0236,true,false,false,false,,,,,,24690,703,0.8708,0.7902,0.8280,false,false,false,false,,,,,,,,0.0225,,,false,false,false,false,,,,,,3734,30,0.0358,0.1208,0.0367,true,false,false,false,,,,,,27183,788,0.9642,0.8792,0.9633,false,false,false,false,,,,,,11.3,0.3,8.2,0.2,13.2,0.0,17.8,,18.4,0.2,6.4,0.2,,,23.1,0.2
LA,Louisiana,true,true,false,true,true,true,0.1359,0.0523,0.8641,0.9477,1.0000,0.0754,0.0000,0.9246,53969,2226,0.3223,0.4204,0.4764,false,true,false,false,,,,,,7122,31,0.0171,0.0555,0.0066,true,false,false,false,,,,,,385,4,0.0056,0.0030,0.0009,false,false,false,false,,,,,,173,6,0.0003,0.0013,0.0013,false,false,false,false,,,,,,,,0.0130,,,false,false,true,true,,,"Louisiana does not specify if this race category is included under a grouping it labels ""Other.""","Louisiana does not specify if this race category is included under a grouping it labels ""Other.""",,53757,2383,0.6221,0.4187,0.5100,false,false,false,false,,,,,,12974,23,0.0196,0.1011,0.0049,false,false,true,true,,,"Louisiana does not specify if this race category is included under a grouping it labels ""Other.""","Louisiana does not specify if this race category is included under a grouping it labels ""Other.""",,,145,0.0504,,0.0318,false,false,false,false,,,,,,,4414,0.9496,,0.9682,false,false,false,false,,,,,,35.9,1.5,89.2,0.4,14.7,0.2,117.8,4.1,,,18.5,0.8,214.7,0.4,,0.6
ME,Maine,true,true,true,true,true,true,0.0938,0.0833,0.9063,0.9167,0.1587,0.1591,0.8413,0.8409,934,4,0.0134,0.2284,0.0331,true,false,false,false,,,,,,109,0,0.0112,0.0267,0.0000,true,false,false,false,,,,,,10,0,0.0062,0.0024,0.0000,false,false,false,false,,,,,,2,0,0.0002,0.0005,0.0000,false,false,false,false,,,,,,19,0,0.0022,0.0046,0.0000,false,false,false,false,,,,,,2880,117,0.9448,0.7043,0.9669,false,false,false,false,,,,,,135,0,0.0219,0.0330,0.0000,false,false,false,false,,,,,,190,0,0.0161,0.0501,0.0000,true,false,false,false,,,,,,3606,111,0.9839,0.9499,1.0000,false,false,false,false,,,,,,52.2,0.2,7.3,0.0,1.2,0.0,6.3,0.0,0.7,0.0,2.3,0.1,45.5,0.0,8.5,0.0
MI,Michigan,true,true,true,true,true,true,0.1699,0.0290,0.8301,0.9710,0.3201,0.1752,0.6799,0.8248,25476,2612,0.1381,0.2727,0.3987,true,true,false,false,,,,,,2106,86,0.0306,0.0225,0.0131,false,false,true,true,"Michigan reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.","Michigan reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,,482,20,0.0053,0.0052,0.0031,false,false,false,false,,,,,,,,0.0003,,,false,false,true,true,"Michigan reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.","Michigan reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,,7605,103,0.0120,0.0814,0.0157,true,false,false,false,,,,,,50813,3602,0.7852,0.5440,0.5498,false,false,false,false,,,,,,6931,129,0.0285,0.0742,0.0197,false,false,false,false,,,,,,8161,129,0.0500,0.1067,0.0232,true,false,false,false,,,,,,68351,5437,0.9500,0.8933,0.9768,false,false,false,false,,,,,,18.5,1.9,6.9,0.3,9.1,0.4,,,26.8,0.4,6.5,0.5,58.2,1.1,15.8,0.2
MN,Minnesota,true,true,true,true,true,true,0.0000,0.0263,1.0000,0.9737,0.0000,0.0263,1.0000,0.9737,14921,179,0.0619,0.1984,0.0986,true,true,false,false,,,,,,4236,83,0.0475,0.0563,0.0457,false,false,false,false,,,,,,613,33,0.0107,0.0082,0.0182,false,true,false,false,,,,,,119,2,0.0004,0.0016,0.0011,false,false,false,false,,,,,,951,11,0.0177,0.0126,0.0061,false,false,false,false,,,,,,32638,1399,0.8333,0.4341,0.7704,false,false,false,false,,,,,,1313,7,0.0285,0.0175,0.0039,false,false,false,false,,,,,,13151,86,0.0530,0.1749,0.0474,true,false,false,false,,,,,,54791,1714,0.9470,0.7287,0.9438,false,false,false,false,,,,,,43.6,0.5,16.1,0.3,10.4,0.6,54.4,0.9,6.0,0.1,7.1,0.3,13.4,0.1,42.7,0.3
MO,Missouri,true,true,true,true,true,true,0.4600,0.0623,0.5400,0.9377,0.3501,0.1187,0.6499,0.8813,11712,459,0.1157,0.2593,0.3246,true,true,false,false,,,,,,,,0.0192,,,false,false,true,true,,,"Missouri includes this race category under a category it labels ""Other.""","Missouri includes this race category under a category it labels ""Other.""",,,,0.0044,,,false,false,true,true,,,"Missouri includes this race category under a category it labels ""Other.""","Missouri includes this race category under a category it labels ""Other.""",,,,0.0011,,,false,false,true,true,,,"Missouri includes this race category under a category it labels ""Other.""","Missouri includes this race category under a category it labels ""Other.""",,2510,13,0.0117,0.0556,0.0092,true,false,false,false,,,,,,28443,885,0.8224,0.6296,0.6259,false,false,false,false,,,,,,2510,57,0.0255,0.0556,0.0403,false,false,true,true,,,"Missouri includes this race category under a category it labels ""Other.""","Missouri includes this race category under a category it labels ""Other.""",,6750,52,0.0409,0.1242,0.0391,true,false,false,false,,,,,,47398,1275,0.9591,0.8718,0.9594,false,false,false,false,,,,,,16.6,0.7,,,,,,,16.2,0.1,5.7,0.2,35.3,0.8,26.6,0.2
MT,Montana,true,true,true,true,true,false,0.2819,0.2404,0.7181,0.7596,0.3015,1.0000,0.6985,0.0000,43,,0.0044,0.0082,,false,false,false,false,,,,,,26,,0.0076,0.0049,,false,false,false,false,,,,,,1184,25,0.0646,0.2246,0.3165,true,false,false,false,,,,,,,,0.0007,,,false,false,true,true,,,"Montana does not specify if this race category is included under a grouping it labels ""Other race.""","Montana does not specify if this race category is included under a grouping it labels ""Other race.""",,,,0.0058,,,false,false,true,true,,,"Montana does not specify if this race category is included under a grouping it labels ""Other race.""","Montana does not specify if this race category is included under a grouping it labels ""Other race.""",,3944,54,0.8886,0.7482,0.6835,false,false,false,false,,,,,,74,,0.0283,0.0140,,false,false,true,true,,,"Montana does not specify if this race category is included under a grouping it labels ""Other race.""","Montana does not specify if this race category is included under a grouping it labels ""Other race.""",,280,,0.0375,0.0546,,true,false,false,false,,,,,,4847,,0.9625,0.9454,,false,false,false,false,,,,,,9.3,,3.3,,17.6,0.4,,,,,4.3,0.1,12.3,,6.7,
NC,North Carolina,true,true,true,true,true,true,0.2373,0.0531,0.7627,0.9469,0.3394,0.1074,0.6606,0.8926,30056,785,0.2146,0.2372,0.3080,false,true,false,false,,,,,,2309,33,0.0278,0.0182,0.0129,false,false,false,false,,,,,,1960,35,0.0119,0.0155,0.0137,false,false,false,false,,,,,,271,4,0.0007,0.0021,0.0016,false,false,false,false,,,,,,,,0.0303,,,false,false,true,true,,,"North Carolina does not specify if this race category is included under a grouping it labels ""Other.""","North Carolina does not specify if this race category is included under a grouping it labels ""Other.""",,71976,1510,0.6887,0.5681,0.5924,false,false,false,false,,,,,,20125,182,0.0259,0.1588,0.0714,false,false,true,true,,,"North Carolina does not specify if this race category is included under a grouping it labels ""Other.""","North Carolina does not specify if this race category is included under a grouping it labels ""Other.""",,40459,257,0.0922,0.3687,0.1069,true,false,false,false,,,,,,69287,2146,0.9078,0.6313,0.8931,false,false,false,false,,,,,,13.8,0.4,8.2,0.1,16.2,0.3,39.1,0.6,,,10.3,0.2,65.4,0.6,40.6,0.3
ND,North Dakota,true,true,false,false,false,false,0.3095,1.0000,0.6905,0.0000,1.0000,1.0000,0.0000,0,962,,0.0272,0.1191,,true,false,false,false,,,,,,224,,0.0144,0.0277,,true,false,false,false,,,,,,722,,0.0525,0.0894,,true,false,false,false,,,,,,,,0.0005,,,false,false,true,false,,,"North Dakota does not specify if this race category is included under a grouping it labels ""Other.""",,,204,,0.0100,0.0252,,true,false,false,false,,,,,,5939,,0.8711,0.7350,,false,false,false,false,,,,,,29,,0.0243,0.0036,,false,false,true,false,,,"North Dakota does not specify if this race category is included under a grouping it labels ""Other.""",,,,,0.0353,,,false,false,false,false,,,,,,,,0.9647,,,false,false,false,false,,,,,,47.1,,20.7,,18.3,,,,11.1,,9.1,,3.9,,,
