state,stateName,anyPosData,posRaceData,posEthData,anyDeathData,deathRaceData,deathEthData,unknownRacePos,unknownRaceDeath,knownRacePos,knownRaceDeath,unknownEthPos,unknownEthDeath,knownEthPos,knownEthDeath,blackPositives,blackDeaths,blackPctPop,blackPctPos,blackPctDeath,blackPosDispFlag,blackDeathDispFlag,blackPosCaution,blackDeathCaution,blackANHPIPosNotes,blackANHPIDeathNotes,blackPosNotes,blackDeathNotes,blackSpecialCaseNotes,asianPositives,asianDeaths,asianPctPop,asianPctPos,asianPctDeath,asianPosDispFlag,asianDeathDispFlag,asianPosCaution,asianDeathCaution,asianANHPIPosNotes,asianANHPIDeathNotes,asianPosNotes,asianDeathNotes,asianSpecialCaseNotes,aianPositives,aianDeaths,aianPctPop,aianPctPos,aianPctDeath,aianPosDispFlag,aianDeathDispFlag,aianPosCaution,aianDeathCaution,aianANHPIPosNotes,aianANHPIDeathNotes,aianPosNotes,aianDeathNotes,aianSpecialCaseNotes,nhpiPositives,nhpiDeaths,nhpiPctPop,nhpiPctPos,nhpiPctDeath,nhpiPosDispFlag,nhpiDeathDispFlag,nhpiPosCaution,nhpiDeathCaution,nhpiANHPIPosNotes,nhpiANHPIDeathNotes,nhpiPosNotes,nhpiDeathNotes,nhpiSpecialCaseNotes,twoPositives,twoDeaths,twoPctPop,twoPctPos,twoPctDeath,twoPosDispFlag,twoDeathDispFlag,twoPosCaution,twoDeathCaution,twoANHPIPosNotes,twoANHPIDeathNotes,twoPosNotes,twoDeathNotes,twoSpecialCaseNotes,whitePositives,whiteDeaths,whitePctPop,whitePctPos,whitePctDeath,whitePosDispFlag,whiteDeathDispFlag,whitePosCaution,whiteDeathCaution,whiteANHPIPosNotes,whiteANHPIDeathNotes,whitePosNotes,whiteDeathNotes,whiteSpecialCaseNotes,otherPositives,otherDeaths,otherPctPop,otherPctPos,otherPctDeath,otherPosDispFlag,otherDeathDispFlag,otherPosCaution,otherDeathCaution,otherANHPIPosNotes,otherANHPIDeathNotes,otherPosNotes,otherDeathNotes,otherSpecialCaseNotes,latinXPositives,latinXDeaths,latinXPctPop,latinXPctPos,latinXPctDeath,latinXPosDispFlag,latinXDeathDispFlag,latinXPosCaution,latinXDeathCaution,latinXANHPIPosNotes,latinXANHPIDeathNotes,latinXPosNotes,latinXDeathNotes,latinXSpecialCaseNotes,nonhispanicPositives,nonhispanicDeaths,nonhispanicPctPop,nonhispanicPctPos,nonhispanicPctDeath,nonhispanicPosDispFlag,nonhispanicDeathDispFlag,nonhispanicPosCaution,nonhispanicDeathCaution,nonhispanicANHPIPosNotes,nonhispanicANHPIDeathNotes,nonhispanicPosNotes,nonhispanicDeathNotes,nonhispanicSpecialCaseNotes,blackPosPercap,blackDeathPercap,asianPosPercap,asianDeathPercap,aianPosPercap,aianDeathPercap,nhpiPosPercap,nhpiDeathPercap,twoPosPercap,twoDeathPercap,whitePosPercap,whiteDeathPercap,otherPosPercap,otherDeathPercap,latinXPosPercap,latinXDeathPercap
NE,Nebraska,true,true,true,true,true,true,0.2041,0.0459,0.7959,0.9541,0.2363,0.1173,0.7637,0.8826530612,2100,28,0.0477,0.0775,0.0749,true,false,false,false,,,,,,1400,18,0.0232,0.0517,0.0481,true,false,false,false,,,,,,344,10,0.0091,0.0127,0.0267,true,false,false,false,,,,,,52,0,0.0007,0.0019,0.0000,false,false,false,false,,,,,,,,0.0189,,,false,false,true,true,,,"Nebraska does not specify if this race category is included under a grouping it labels ""Other race.""","Nebraska does not specify if this race category is included under a grouping it labels ""Other race.""",,21400,306,0.8749,0.7898,0.8182,false,false,false,false,,,,,,1800,12,0.0255,0.0664,0.0321,false,false,true,true,,,"Nebraska does not specify if this race category is included under a grouping it labels ""Other race.""","Nebraska does not specify if this race category is included under a grouping it labels ""Other race.""",,11000,86,0.1067,0.4231,0.2486,true,true,false,false,,,,,,15000,260,0.8933,0.5769,0.7514,false,false,false,false,,,,,,23.1,0.3,31.7,0.4,19.9,0.6,37.4,0.0,,,12.8,0.2,49.9,0.3,51.3,0.4
OH,Ohio,true,true,true,true,true,true,0.1206,0.0078,0.8794,0.9922,0.2258,0.0131,0.7742,0.9869186047,27694,771,0.1235,0.2576,0.1882,true,true,false,false,,,,,,3102,42,0.0215,0.0289,0.0103,true,false,false,false,,,,,,165,3,0.0020,0.0015,0.0007,false,false,false,false,,,,,,178,1,0.0003,0.0017,0.0002,false,false,false,false,,,,,,3627,55,0.0094,0.0337,0.0134,true,true,false,false,,,,,,64849,3200,0.8151,0.6032,0.7813,false,false,false,false,,,,,,7902,24,0.0281,0.0735,0.0059,false,false,false,false,,,,,,7671,92,0.0370,0.0810,0.0226,true,false,false,false,,,,,,86986,3982,0.9630,0.9190,0.9774,false,false,false,false,,,,,,19.3,0.5,12.4,0.2,7.0,0.1,49.6,0.3,11.1,0.2,6.8,0.3,72.0,0.2,16.8,0.2
OK,Oklahoma,true,true,true,true,true,true,0.2055,0.0613,0.7945,0.9387,0.2578,0.1377,0.7422,0.8623279099,4117,48,0.0735,0.0893,0.0640,false,false,false,false,,,,,,2191,19,0.0213,0.0475,0.0253,false,false,true,true,"Oklahoma reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.","Oklahoma reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,,5505,74,0.0752,0.1194,0.0987,true,false,false,false,,,,,,,,0.0011,,,false,false,true,true,"Oklahoma reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.","Oklahoma reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,,,,0.0272,,,false,false,true,true,,,"Oklahoma includes this race category under a grouping it labels ""Multiple Races/Other.""","Oklahoma includes this race category under a grouping it labels ""Multiple Races/Other.""",,31968,581,0.7243,0.6935,0.7747,false,false,false,false,,,,,,2317,28,0.0774,0.0503,0.0373,false,false,true,true,,,"Oklahoma includes this race category under a grouping it labels ""Multiple Races/Other.""","Oklahoma includes this race category under a grouping it labels ""Multiple Races/Other.""",,10894,54,0.1040,0.2530,0.0784,true,false,false,false,,,,,,32169,635,0.8960,0.7470,0.9216,false,false,false,false,,,,,,14.3,0.2,26.3,0.2,18.7,0.3,,,,,11.3,0.2,21.7,0.3,25.4,0.1
OR,Oregon,true,true,true,true,true,true,0.1419,0.1550,0.8581,0.8450,0.1399,0.2009,0.8601,0.7991266376,898,11,0.0191,0.0394,0.0284,true,false,false,false,,,,,,730,18,0.0428,0.0320,0.0465,false,false,false,false,,,,,,629,10,0.0115,0.0276,0.0258,true,false,false,false,,,,,,505,7,0.0039,0.0222,0.0181,true,false,false,false,,,,,,494,5,0.0311,0.0217,0.0129,false,false,false,false,,,,,,10416,296,0.8442,0.4571,0.7649,false,false,false,false,,,,,,9115,40,0.0474,0.4000,0.1034,false,false,false,false,,,,,,10438,53,0.1284,0.4570,0.1448,true,false,false,false,,,,,,12401,313,0.8716,0.5430,0.8552,false,false,false,false,,,,,,11.5,0.1,4.2,0.1,13.4,0.2,31.6,0.4,2.6,0.0,3.0,0.1,71.7,0.3,18.8,0.1
PA,Pennsylvania,true,true,true,true,true,true,0.4799,0.0023,0.5201,0.9977,0.6713,0.0600,0.3287,0.94,18221,1608,0.1113,0.2624,0.2101,true,true,false,false,,,,,,1957,162,0.0335,0.0282,0.0212,false,false,false,false,,,,,,,,0.0019,,,false,false,true,true,,,"Pennsylvania does not specify if this race category is included under a grouping it labels ""Other.""","Pennsylvania does not specify if this race category is included under a grouping it labels ""Other.""",,,,0.0003,,,false,false,true,true,,,"Pennsylvania does not specify if this race category is included under a grouping it labels ""Other.""","Pennsylvania does not specify if this race category is included under a grouping it labels ""Other.""",,,,0.0202,,,false,false,true,true,,,"Pennsylvania does not specify if this race category is included under a grouping it labels ""Other.""","Pennsylvania does not specify if this race category is included under a grouping it labels ""Other.""",,47191,5520,0.8085,0.6796,0.7211,false,false,false,false,,,,,,2073,365,0.0243,0.0299,0.0477,false,false,true,true,,,"Pennsylvania does not specify if this race category is included under a grouping it labels ""Other.""","Pennsylvania does not specify if this race category is included under a grouping it labels ""Other.""",,11121,453,0.0708,0.2534,0.0592,true,false,false,false,,,,,,32763,7202,0.9292,0.7466,0.9408,false,false,false,false,,,,,,12.8,1.1,4.6,0.4,,,,,,,4.6,0.5,8.0,1.4,11.4,0.5
PR,Puerto Rico,false,false,false,false,false,false,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0,,,0.1078,,,false,false,false,false,,,,,,,,0.0020,,,false,false,false,false,,,,,,,,0.0025,,,false,false,false,false,,,,,,,,0.0001,,,false,false,false,false,,,,,,,,0.1616,,,false,false,false,false,,,,,,,,0.6743,,,false,false,false,false,,,,,,,,0.0518,,,false,false,false,false,,,,,,,,0.9889,,,false,false,false,false,,,,,,,,0.0111,,,false,false,false,false,,,,,,,,,,,,,,,,,,,,,
SC,South Carolina,true,true,true,true,true,true,0.2980,0.1414,0.7020,0.8586,0.4232,0.2484,0.5768,0.7515688446,32132,968,0.2703,0.3868,0.4162,true,true,false,false,,,,,,1067,18,0.0152,0.0128,0.0077,false,false,false,false,,,,,,,,0.0034,,,false,false,true,true,,,"South Carolina does not specify if this race category is included under a grouping it labels ""Other.""","South Carolina does not specify if this race category is included under a grouping it labels ""Other.""",,,,0.0006,,,false,false,true,true,,,"South Carolina does not specify if this race category is included under a grouping it labels ""Other.""","South Carolina does not specify if this race category is included under a grouping it labels ""Other.""",,,,0.0159,,,false,false,true,true,,,"South Carolina does not specify if this race category is included under a grouping it labels ""Other.""","South Carolina does not specify if this race category is included under a grouping it labels ""Other.""",,42039,1267,0.6725,0.5061,0.5447,false,false,false,false,,,,,,7823,73,0.0222,0.0942,0.0314,false,false,true,true,,,"South Carolina does not specify if this race category is included under a grouping it labels ""Other.""","South Carolina does not specify if this race category is included under a grouping it labels ""Other.""",,9799,93,0.0556,0.1436,0.0457,true,false,false,false,,,,,,58448,1943,0.9444,0.8564,0.9543,false,false,false,false,,,,,,24.0,0.7,14.2,0.2,,,,,,,12.6,0.4,99.5,0.9,33.3,0.3
TN,Tennessee,true,true,true,true,true,true,0.1679,0.0086,0.8321,0.9914,0.2339,0.0086,0.7661,0.9914138523,29368,527,0.1680,0.2305,0.3043,true,true,false,false,,,,,,1331,16,0.0170,0.0104,0.0092,false,false,false,false,,,,,,204,4,0.0027,0.0016,0.0023,false,false,false,false,,,,,,112,2,0.0006,0.0009,0.0012,false,false,false,false,,,,,,,,0.0136,,,false,false,true,true,,,"Tennessee includes this race category under a grouping it labels ""Other/Multiracial.""","Tennessee includes this race category under a grouping it labels ""Other/Multiracial.""",,76504,1093,0.7767,0.6005,0.6311,false,false,false,false,,,,,,19881,90,0.0214,0.1561,0.0520,false,false,true,true,,,"Tennessee includes this race category under a grouping it labels ""Other/Multiracial.""","Tennessee includes this race category under a grouping it labels ""Other/Multiracial.""",,22416,124,0.0530,0.1911,0.0716,true,true,false,false,,,,,,94888,1608,0.9470,0.8089,0.9284,false,false,false,false,,,,,,26.3,0.5,11.8,0.1,11.4,0.2,29.4,0.5,,,14.8,0.2,219.3,1.0,60.1,0.3
VI,Virgin Islands,false,false,false,false,false,false,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,,,,,,,,,,,,,,,,,,,,,
VT,Vermont,true,true,true,true,true,true,0.0056,0.0000,0.9944,1.0000,0.0031,0.0000,0.9969,1,174,,0.0129,0.1083,,true,false,false,true,,,,"Vermont does not specify if this race category is included under a grouping it labels ""Other race.""",,58,2,0.0169,0.0361,0.0345,true,false,false,false,,,,,,2,,0.0034,0.0012,,false,false,false,true,,,,"Vermont does not specify if this race category is included under a grouping it labels ""Other race.""",,,,0.0003,,,false,false,true,true,,,"Vermont does not specify if this race category is included under a grouping it labels ""Other race.""","Vermont does not specify if this race category is included under a grouping it labels ""Other race.""",,,,0.0039,,,false,false,true,true,,,"Vermont does not specify if this race category is included under a grouping it labels ""Other race.""","Vermont does not specify if this race category is included under a grouping it labels ""Other race.""",,1336,55,0.9433,0.8314,0.9483,false,false,false,false,,,,,,37,1,0.0193,0.0230,0.0172,false,false,true,true,,,"Vermont does not specify if this race category is included under a grouping it labels ""Other race.""","Vermont does not specify if this race category is included under a grouping it labels ""Other race.""",,58,0,0.0187,0.0360,0.0000,true,false,false,false,,,,,,1553,58,0.9813,0.9640,1.0000,false,false,false,false,,,,,,21.6,,5.5,0.2,0.9,,,,,,2.3,0.1,15.3,0.4,4.7,0.0
WI,Wisconsin,true,true,true,true,true,true,0.0983,0.0142,0.9017,0.9858,0.1365,0.0195,0.8635,0.9805309735,10214,224,0.0638,0.1411,0.2011,true,true,false,false,,,,,,2181,31,0.0276,0.0301,0.0278,false,false,true,true,"Wisconsin reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.","Wisconsin reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,,779,13,0.0087,0.0108,0.0117,false,false,false,false,,,,,,,,0.0003,,,false,false,true,true,"Wisconsin reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.","Wisconsin reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,,,,0.0201,,,false,false,true,true,,,"Wisconsin includes this race category under a grouping it labels ""Multiple or other races.""","Wisconsin includes this race category under a grouping it labels ""Multiple or other races.""",,52081,820,0.8559,0.7193,0.7361,false,false,false,false,,,,,,7154,26,0.0235,0.0988,0.0233,false,false,true,true,,,"Wisconsin includes this race category under a grouping it labels ""Multiple or other races.""","Wisconsin includes this race category under a grouping it labels ""Multiple or other races.""",,16800,136,0.0668,0.2423,0.1227,true,true,false,false,,,,,,52537,972,0.9332,0.7577,0.8773,false,false,false,false,,,,,,27.7,0.6,13.7,0.2,15.4,0.3,,,,,10.5,0.2,61.7,0.2,41.6,0.3
WV,West Virginia,true,true,false,true,true,false,0.0000,0.7136,1.0000,0.2864,1.0000,1.0000,0.0000,0,733,3,0.0365,0.0725,0.0492,true,false,false,false,,,,,,,,0.0079,,,false,false,true,true,,,"West Virginia does not specify if this race category is included under a grouping it labels ""Other.""","West Virginia does not specify if this race category is included under a grouping it labels ""Other.""",,,,0.0020,,,false,false,true,true,,,"West Virginia does not specify if this race category is included under a grouping it labels ""Other.""","West Virginia does not specify if this race category is included under a grouping it labels ""Other.""",,1,,0.0002,0.0001,,false,false,true,true,,,"West Virginia does not specify if this race category is included under a grouping it labels ""Other.""","West Virginia does not specify if this race category is included under a grouping it labels ""Other.""",,,,0.0040,,,false,false,true,true,,,"West Virginia does not specify if this race category is included under a grouping it labels ""Other.""","West Virginia does not specify if this race category is included under a grouping it labels ""Other.""",,8118,58,0.9318,0.8030,0.9508,false,false,false,false,,,,,,1258,,0.0176,0.1244,,false,false,true,true,,,"West Virginia does not specify if this race category is included under a grouping it labels ""Other.""","West Virginia does not specify if this race category is included under a grouping it labels ""Other.""",,,,0.0150,,,false,false,false,false,,,,,,,,0.9850,,,false,false,false,false,,,,,,11.0,0.0,,,,,2.9,,,,4.8,0.0,172.6,,,
WY,Wyoming,true,true,true,true,true,true,0.1929,0.1351,0.8071,0.8649,0.1929,0.1351,0.8071,0.8648648649,38,1,0.0095,0.0123,0.0313,false,false,true,true,,,,,Wyoming reports non-mutually-exclusive categories for race and ethnicity data. Percentages may sum to more than 100%.,25,0,0.0082,0.0081,0.0000,false,false,true,true,,,,,Wyoming reports non-mutually-exclusive categories for race and ethnicity data. Percentages may sum to more than 100%.,451,14,0.0242,0.1463,0.4375,false,false,true,true,,,,,Wyoming reports non-mutually-exclusive categories for race and ethnicity data. Percentages may sum to more than 100%.,12,,0.0009,0.0039,,false,false,true,true,,,Wyoming reports non-mutually-exclusive categories for race and ethnicity data. Percentages may sum to more than 100%.,,Wyoming reports non-mutually-exclusive categories for race and ethnicity data. Percentages may sum to more than 100%.,,,0.0161,,,false,false,true,true,,,Wyoming reports non-mutually-exclusive categories for race and ethnicity data. Percentages may sum to more than 100%.,,Wyoming reports non-mutually-exclusive categories for race and ethnicity data. Percentages may sum to more than 100%.,1969,15,0.9144,0.6387,0.4688,false,false,true,true,,,,,Wyoming reports non-mutually-exclusive categories for race and ethnicity data. Percentages may sum to more than 100%.,175,0,0.0268,0.0568,0.0000,false,false,true,true,,,Wyoming reports non-mutually-exclusive categories for race and ethnicity data. Percentages may sum to more than 100%.,,Wyoming reports non-mutually-exclusive categories for race and ethnicity data. Percentages may sum to more than 100%.,509,2,0.0979,0.1651,0.0625,false,false,true,true,,,,,Wyoming reports non-mutually-exclusive categories for race and ethnicity data. Percentages may sum to more than 100%.,2670,29,0.9021,0.8660,0.9063,false,false,true,true,,,,,Wyoming reports non-mutually-exclusive categories for race and ethnicity data. Percentages may sum to more than 100%.,6.9,0.2,5.3,0.0,32.1,1.0,22.3,,,,3.7,0.0,18.7,0.0,8.8,0.0
