state,stateName,anyPosData,anyDeathData,unknownRaceEthPos,unknownRaceEthDeath,knownRaceEthPos,knownRaceEthDeath,blackPositives,blackDeaths,blackPctPop,blackPctPos,blackPctDeath,blackPosDispFlag,blackDeathDispFlag,blackPosCaution,blackDeathCaution,blackANHPIPosNotes,blackPosNotes,blackANHPIDeathNotes,blackDeathNotes,asianPositives,asianDeaths,asianPctPop,asianPctPos,asianPctDeath,asianPosDispFlag,asianDeathDispFlag,asianPosCaution,asianDeathCaution,asianANHPIPosNotes,asianANHPIDeathNotes,asianPosNotes,asianDeathNotes,aianPositives,aianDeaths,aianANHPIPosNotes,aianPctPop,aianANHPIDeathNotes,aianPctPos,aianPctDeath,aianPosDispFlag,aianDeathDispFlag,aianPosCaution,aianDeathCaution,aianPosNotes,aianDeathNotes,nhpiPositives,nhpiDeaths,nhpiPctPop,nhpiPctPos,nhpiPctDeath,nhpiPosDispFlag,nhpiDeathDispFlag,nhpiPosCaution,nhpiDeathCaution,nhpiANHPIPosNotes,nhpiPosNotes,nhpiDeathNotes,nhpiANHPIDeathNotes,twoPositives,twoDeaths,twoPctPop,twoPctPos,twoPctDeath,twoPosDispFlag,twoDeathDispFlag,twoANHPIPosNotes,twoPosCaution,twoDeathCaution,twoANHPIDeathNotes,twoPosNotes,twoDeathNotes,whitePositives,whiteDeaths,whitePctPop,whitePctPos,whitePctDeath,whitePosDispFlag,whiteDeathDispFlag,whitePosCaution,whiteDeathCaution,whiteANHPIPosNotes,whiteANHPIDeathNotes,whitePosNotes,whiteDeathNotes,otherPositives,otherDeaths,otherPctPop,otherPctPos,otherPctDeath,otherPosDispFlag,otherDeathDispFlag,otherANHPIPosNotes,otherANHPIDeathNotes,otherPosCaution,otherDeathCaution,otherPosNotes,otherDeathNotes,latinXPositives,latinXDeaths,latinXPctPop,latinXPctPos,latinXPctDeath,latinXPosDispFlag,latinXDeathDispFlag,latinXPosCaution,latinXDeathCaution,latinXANHPINotes,latinXPosNotes,latinXDeathNotes,blackPosPercap,blackDeathPercap,asianPosPercap,asianDeathPercap,aianPosPercap,aianDeathPercap,nhpiPosPercap,nhpiDeathPercap,twoPosPercap,twoDeathPercap,whitePosPercap,whiteDeathPercap,otherPosPercap,otherDeathPercap,latinXPosPercap,latinXDeathPercap
NH,New Hampshire,true,true,0.1205,0.0208,0.8795,0.9792,358,9,0.0131,0.0557,0.0213,true,false,false,false,,,,,193,4,0.0267,0.0300,0.0095,false,false,false,false,,,,,,,,0.0014,,,,false,false,true,true,"New Hampshire includes this category under a grouping it labels ""Other.""","New Hampshire includes this category under a grouping it labels ""Other.""",,,0.0002,,,false,false,true,true,,"New Hampshire includes this category under a grouping it labels ""Other.""","New Hampshire includes this category under a grouping it labels ""Other.""",,,,0.0177,,,false,false,,true,true,,"New Hampshire includes this category under a grouping it labels ""Other.""","New Hampshire includes this category under a grouping it labels ""Other.""",4744,396,0.9039,0.7380,0.9362,false,false,false,false,,,,,248,2,0.0010,0.0386,0.0047,false,false,,,true,true,"New Hampshire includes this category under a grouping it labels ""Other.""","New Hampshire includes this category under a grouping it labels ""Other.""",885,12,0.0360,0.1377,0.0284,true,false,false,false,,,,20.3,0.5,5.4,0.1,,,,,,,3.9,0.3,187.5,1.5,18.3,0.2
NJ,New Jersey,true,true,0.3634,0.0206,0.6366,0.9794,20367,2826,0.1271,0.1661,0.1807,false,true,false,false,,,,,6186,867,0.0931,0.0505,0.0555,false,false,false,false,,,,,,,,0.0011,,,,false,false,true,true,"New Jersey includes this race category under a grouping it labels ""Other (non-Hispanic).""","New Jersey includes this race category under a grouping it labels ""Other (non-Hispanic).""",,,0.0003,,,false,false,true,true,,"New Jersey includes this race category under a grouping it labels ""Other (non-Hispanic).""","New Jersey includes this race category under a grouping it labels ""Other (non-Hispanic).""",,,,0.0168,,,false,false,,true,true,,"New Jersey includes this race category under a grouping it labels ""Other (non-Hispanic).""","New Jersey includes this race category under a grouping it labels ""Other (non-Hispanic).""",45083,8508,0.5584,0.3677,0.5442,false,false,false,false,,,,,13796,287,0.0042,0.1125,0.0184,false,false,,,true,true,"New Jersey includes this race category under a grouping it labels ""Other (non-Hispanic).""","New Jersey includes this race category under a grouping it labels ""Other (non-Hispanic).""",37167,3147,0.1991,0.3032,0.2013,false,false,false,false,,,,18.0,2.5,7.5,1.0,,,,,,,9.1,1.7,374.1,7.8,21.0,1.8
NM,New Mexico,true,true,0.0736,0.0570,0.9264,0.9430,453,7,0.0182,0.0191,0.0094,false,false,false,false,,,,,163,2,0.0141,0.0069,0.0027,false,false,true,true,"New Mexico reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.","New Mexico reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,8190,404,,0.0877,,0.3452,0.5423,true,true,false,false,,,,,0.0005,,,false,false,true,true,"New Mexico reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,"New Mexico reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,0.0154,,,false,false,,true,true,,New Mexico does not report data for this race category.,New Mexico does not report data for this race category.,3649,173,0.3767,0.1538,0.2322,false,false,false,false,,,,,,,0.0019,,,false,false,,,true,true,New Mexico does not report data for this race category.,New Mexico does not report data for this race category.,11271,159,0.4854,0.4750,0.2134,false,false,false,false,,,,11.9,0.2,5.5,0.1,44.7,2.2,,,,,4.6,0.2,,,11.1,0.2
NV,Nevada,true,true,0.2917,0.3473,0.7083,0.6527,4132,104,0.0855,0.0835,0.1193,false,false,false,false,,,,,3690,105,0.0787,0.0746,0.1204,false,false,false,false,,,,,254,8,,0.0090,,0.0051,0.0092,false,false,false,false,,,,,0.0061,,,false,false,true,true,,,"Nevada does not specify if this race category is included under a grouping it labels ""Other.""",,,,0.0344,,,false,false,,true,true,,"Nevada does not specify if this race category is included under a grouping it labels ""Other.""","Nevada does not specify if this race category is included under a grouping it labels ""Other.""",13885,448,0.4989,0.2806,0.5138,false,false,false,false,,,,,6495,10,0.0030,0.1312,0.0115,false,false,,,true,true,"Nevada does not specify if this race category is included under a grouping it labels ""Other.""","Nevada does not specify if this race category is included under a grouping it labels ""Other.""",21035,197,0.2845,0.4250,0.2259,true,false,false,false,,,,16.5,0.4,16.0,0.5,9.6,0.3,,,,,9.5,0.3,747.2,1.2,25.3,0.2
NY,New York,false,true,1.0000,0.1076,0.0000,0.8924,,6429,0.1432,,0.2524,false,true,false,false,,,,,,1707,0.0824,,0.0670,false,false,true,true,"Race/ethnicity data is reported separately by New York City and the rest of New York State. NYC reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian. New York State exlcuding NYC reports a grouping it labels ""Asian.""  ","Race/ethnicity data is reported separately by New York City and the rest of New York State. NYC reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian. New York State exlcuding NYC reports a grouping it labels ""Asian.""  ",,,,,,0.0024,,,,false,false,false,true,,"New York City includes this race category under a grouping it labels ""Other/unknown."" New York State excluding NYC does not specify if this race category is included under a grouping it labels ""Other.""",,,0.0003,,,false,false,true,true,"Race/ethnicity data is reported separately by New York City and the rest of New York State. NYC reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian. New York State exlcuding NYC reports a grouping it labels ""Asian.""  ",,,"Race/ethnicity data is reported separately by New York City and the rest of New York State. NYC reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian. New York State exlcuding NYC reports a grouping it labels ""Asian.""  ",,,0.0190,,,false,false,,false,true,,,"New York City includes this race category under a grouping it labels ""Other/unknown."" New York State excluding NYC does not specify if this race category is included under a grouping it labels ""Other.""",,8741,0.5586,,0.3431,false,false,false,false,,,,,,1840,0.0054,,0.0722,false,false,,,false,true,,"New York City includes this race category under a grouping it labels ""Other/unknown."" New York State excluding NYC does not specify if this race category is included under a grouping it labels ""Other.""",,6759,0.1889,,0.2653,false,true,false,false,,,,,2.3,,1.1,,,,,,,,0.8,,17.5,,1.8
RI,Rhode Island,true,true,0.2743,0.1931,0.7257,0.8069,1938,53,0.0558,0.1210,0.0625,true,false,false,false,,,,,,,0.0332,,,false,false,true,true,,,"Rhode Island does not specify if this race category is included under a grouping it labels ""Non-Hispanic other.""","Rhode Island does not specify if this race category is included under a grouping it labels ""Non-Hispanic other.""",,,,0.0035,,,,false,false,true,true,"Rhode Island does not specify if this race category is included under a grouping it labels ""Non-Hispanic other.""","Rhode Island does not specify if this race category is included under a grouping it labels ""Non-Hispanic other.""",,,0.0006,,,false,false,true,true,,"Rhode Island does not specify if this race category is included under a grouping it labels ""Non-Hispanic other.""","Rhode Island does not specify if this race category is included under a grouping it labels ""Non-Hispanic other.""",,,,0.0231,,,false,false,,true,true,,"Rhode Island does not specify if this race category is included under a grouping it labels ""Non-Hispanic other.""","Rhode Island does not specify if this race category is included under a grouping it labels ""Non-Hispanic other.""",5887,685,0.7266,0.3674,0.8078,false,false,false,false,,,,,623,14,0.0067,0.0389,0.0165,false,false,,,true,true,"Rhode Island does not specify if this race category is included under a grouping it labels ""Non-Hispanic other.""","Rhode Island does not specify if this race category is included under a grouping it labels ""Non-Hispanic other.""",7574,96,0.1503,0.4727,0.1132,true,false,false,false,,,,32.8,0.9,,,,,,,,,7.7,0.9,87.9,2.0,47.7,0.6
SD,South Dakota,true,true,0.0000,0.0000,1.0000,1.0000,1161,2,0.0183,0.0829,0.0118,true,false,false,false,,,,,755,5,0.0145,0.0539,0.0296,true,false,false,false,,,,,1829,39,,0.0836,,0.1306,0.2308,true,true,false,false,,,,,0.0003,,,false,false,true,true,,"South Dakota does not specify if this race category is included under a grouping it labels ""Other.""","South Dakota does not specify if this race category is included under a grouping it labels ""Other.""",,,,0.0231,,,false,false,,true,true,,"South Dakota does not specify if this race category is included under a grouping it labels ""Other.""","South Dakota does not specify if this race category is included under a grouping it labels ""Other.""",7530,103,0.8224,0.5377,0.6095,false,false,false,false,,,,,1334,15,0.0007,0.0953,0.0888,false,false,,,true,true,"South Dakota does not specify if this race category is included under a grouping it labels ""Other.""","South Dakota does not specify if this race category is included under a grouping it labels ""Other.""",1394,5,0.0370,0.0996,0.0296,true,false,false,false,,,,73.3,0.1,60.2,0.4,25.3,0.5,,,,,10.6,0.1,2061.8,23.2,43.6,0.2
TX,Texas,true,true,0.9329,0.0003,0.0671,0.9997,7745,1493,0.1172,0.1855,0.1160,false,false,false,false,,,,,754,257,0.0464,0.0181,0.0200,false,false,false,false,,,,,,,,0.0025,,,,false,false,true,true,"Texas does not specify if this race category is included under a grouping it labels ""Other.""","Texas does not specify if this race category is included under a grouping it labels ""Other.""",,,0.0007,,,false,false,true,true,,"Texas does not specify if this race category is included under a grouping it labels ""Other.""","Texas does not specify if this race category is included under a grouping it labels ""Other.""",,,,0.0166,,,false,false,,true,true,,"Texas does not specify if this race category is included under a grouping it labels ""Other.""","Texas does not specify if this race category is included under a grouping it labels ""Other.""",13814,3913,0.4234,0.3309,0.3041,false,false,false,false,,,,,217,74,0.0015,0.0052,0.0058,false,false,,,true,true,"Texas does not specify if this race category is included under a grouping it labels ""Other.""","Texas does not specify if this race category is included under a grouping it labels ""Other.""",19211,7129,0.3917,0.4602,0.5541,false,true,false,false,,,,2.4,0.5,0.6,0.2,,,,,,,1.2,0.3,5.1,1.7,1.8,0.7
US,United States,false,false,,,,,729630,36765,0.1230,0.1963,0.2150,true,true,false,false,,,,,,,0.0538,,,false,false,false,false,,,,,44118,1518,,0.0066,,0.0119,0.0089,true,true,false,false,,,,,0.0016,,,false,false,false,false,,,,,,,0.0239,,,false,false,,false,false,,,,,,0.6107,,,false,false,false,false,,,,,,,0.0023,,,false,false,,,false,false,,,1126437,34948,0.1781,0.3383,0.2093,true,false,false,false,,,,,,,,,,,,,,,,,,,
UT,Utah,true,true,0.1053,0.05365853659,0.8947,0.9463414634,1210,7,0.0111,0.0256,0.0180,false,false,true,true,,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,1240,22,0.0226,0.0262,0.0567,false,false,true,true,,,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,1063,33,,0.0092,,0.0225,0.0851,false,false,true,true,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,2258,23,0.0087,0.0478,0.0593,false,false,true,true,,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,,,,0.02,,,false,false,,true,true,,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,22545,209,0.7862,0.4771,0.5387,false,false,true,true,,,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,6168,34,0.0016,0.1305,0.0876,false,false,,,true,true,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,Utah reports non-mutually-exclusive categories for race data. Percentages may sum to more than 100%.,19111,91,0.1386,0.4044,0.2345,false,false,false,false,,,,35.9,0.2,18.0,0.3,37.9,1.2,84.9,0.9,,,9.4,0.1,1284.5,7.1,45.3,0.2
VA,Virginia,true,true,0.2302,0.03180613404,0.7698,0.968193866,24243,678,0.19,0.26,0.27,true,true,false,false,,,,,3585,130,0.06,0.04,0.05,false,false,true,true,"Virginia reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.","Virginia reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,146,5,,0.00,,0.00,0.00,false,false,false,false,,,,,0.00,,,false,false,true,true,"Virginia reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",,,"Virginia reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian.",715,3,0.03,0.01,0.00,false,false,,false,false,,,,31682,1420,0.62,0.34,0.56,false,false,false,false,,,,,2999,42,0.00,0.03,0.02,false,false,,,false,false,,,30966,279,0.09,0.33,0.11,true,false,false,false,,,,15.3,0.4,6.8,0.2,8.2,0.3,,,2.8,0.0,6.1,0.3,140.8,2.0,40.2,0.4
WA,Washington,true,true,0.3020,0.01602067183,0.6980,0.9839793282,3136,64,0.04,0.06,0.03,true,false,false,false,,,,,2560,145,0.08,0.05,0.08,false,false,false,false,,,,,838,51,,0.01,,0.02,0.03,true,true,false,false,,,1318,30,0.01,0.03,0.02,true,false,false,false,,,,,1368,22,0.05,0.03,0.01,false,false,,false,false,,,,19966,1284,0.69,0.38,0.67,false,false,false,false,,,,,,,0.00,,,false,false,,,false,false,,,22318,269,0.13,0.42,0.14,true,false,false,false,,,,12.1,0.2,4.3,0.2,10.4,0.6,28.4,0.6,4.0,0.1,4.0,0.3,,,24.5,0.3
