state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,notes
AK,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
AL,,1,1,0,1,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
AR,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
AZ,,1,1,0,1,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
CA,,1,1,0,1,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
CO,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
CT,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
DC,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
DE,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
FL,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
GA,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
HI,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
IA,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
ID,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
IL,,1,1,1,1,A,4,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
IN,,1,1,1,0,B,3,"The following fields are deprecated: ""positiveScore"", ""negativeScore"", ""negativeRegularScore"", ""commercialScore"", and ""score"" as of 4/24/20. Please use ""dataQualityGrade"" instead."
